+----------+-----------+-----------+-----------+
| Storm ID |    Name   | Max Speed | Avg Speed |
| AL021859 |  UNNAMED  |   12.67   |    8.22   |
| AL031859 |  UNNAMED  |   12.47   |   10.94   |
| AL041859 |  UNNAMED  |   40.54   |   28.99   |
| AL051859 |  UNNAMED  |   44.83   |   21.27   |
| AL061859 |  UNNAMED  |   29.61   |   15.81   |
| AL071859 |  UNNAMED  |   11.18   |    7.2    |
| AL081859 |  UNNAMED  |   55.21   |   13.03   |
| AL011860 |  UNNAMED  |   12.95   |    7.09   |
| AL021860 |  UNNAMED  |   18.09   |   14.59   |
| AL041860 |  UNNAMED  |   13.01   |    5.72   |
| AL031860 |  UNNAMED  |     0     |    0.0    |
| AL051860 |  UNNAMED  |   18.28   |   12.45   |
| AL061860 |  UNNAMED  |   15.58   |    8.61   |
| AL071860 |  UNNAMED  |    31.8   |    13.1   |
| AL011861 |  UNNAMED  |    14.2   |    9.95   |
| AL021861 |  UNNAMED  |   14.91   |    9.43   |
| AL031861 |  UNNAMED  |   19.11   |   11.79   |
| AL041861 |  UNNAMED  |     0     |    0.0    |
| AL051861 |  UNNAMED  |   47.71   |   38.49   |
| AL061861 |  UNNAMED  |   20.24   |   15.34   |
| AL071861 |  UNNAMED  |     0     |    0.0    |
| AL081861 |  UNNAMED  |    24.1   |   20.99   |
| AL011862 |  UNNAMED  |    7.55   |    5.25   |
| AL021862 |  UNNAMED  |   35.31   |   18.79   |
| AL031862 |  UNNAMED  |   30.12   |   11.43   |
| AL041862 |  UNNAMED  |     0     |    0.0    |
| AL051862 |  UNNAMED  |   23.52   |   11.91   |
| AL061862 |  UNNAMED  |    1.97   |    0.38   |
| AL011863 |  UNNAMED  |    9.06   |    8.42   |
| AL021863 |  UNNAMED  |   15.02   |   12.74   |
| AL031863 |  UNNAMED  |   23.38   |   14.84   |
| AL041863 |  UNNAMED  |   19.83   |   15.66   |
| AL051863 |  UNNAMED  |   21.85   |   14.04   |
| AL061863 |  UNNAMED  |   38.49   |   13.98   |
| AL071863 |  UNNAMED  |    5.02   |    4.06   |
| AL081863 |  UNNAMED  |   26.81   |   21.02   |
| AL091863 |  UNNAMED  |    5.92   |    5.4    |
| AL011864 |  UNNAMED  |   43.84   |   26.59   |
| AL021864 |  UNNAMED  |     0     |    0.0    |
| AL031864 |  UNNAMED  |   18.35   |   14.18   |
| AL041864 |  UNNAMED  |     0     |    0.0    |
| AL051864 |  UNNAMED  |   23.44   |   16.22   |
| AL011865 |  UNNAMED  |     0     |    0.0    |
| AL021865 |  UNNAMED  |     0     |    0.0    |
| AL031865 |  UNNAMED  |   12.69   |    6.25   |
| AL041865 |  UNNAMED  |   19.41   |    12.9   |
| AL051865 |  UNNAMED  |     0     |    0.0    |
| AL061865 |  UNNAMED  |     0     |    0.0    |
| AL071865 |  UNNAMED  |   23.94   |    11.6   |
| AL011866 |  UNNAMED  |    5.4    |    5.14   |
| AL021866 |  UNNAMED  |   21.39   |    17.5   |
| AL031866 |  UNNAMED  |   21.82   |   15.26   |
| AL041866 |  UNNAMED  |     0     |    0.0    |
| AL051866 |  UNNAMED  |   16.77   |   12.92   |
| AL061866 |  UNNAMED  |   34.75   |   15.54   |
| AL071866 |  UNNAMED  |   32.82   |    25.3   |
| AL011867 |  UNNAMED  |   12.24   |    6.8    |
| AL021867 |  UNNAMED  |   43.91   |   17.16   |
| AL031867 |  UNNAMED  |     0     |    0.0    |
| AL041867 |  UNNAMED  |   16.21   |    10.5   |
| AL051867 |  UNNAMED  |     0     |    0.0    |
| AL061867 |  UNNAMED  |   13.28   |    9.58   |
| AL071867 |  UNNAMED  |   13.08   |    8.44   |
| AL081867 |  UNNAMED  |     0     |    0.0    |
| AL091867 |  UNNAMED  |   19.11   |    13.7   |
| AL011868 |  UNNAMED  |   27.17   |   14.55   |
| AL021868 |  UNNAMED  |   27.53   |   13.99   |
| AL031868 |  UNNAMED  |    8.3    |    5.44   |
| AL041868 |  UNNAMED  |    17.0   |   11.23   |
| AL011869 |  UNNAMED  |    12.4   |   11.78   |
| AL021869 |  UNNAMED  |   10.64   |    9.34   |
| AL031869 |  UNNAMED  |   12.42   |    9.21   |
| AL041869 |  UNNAMED  |   13.14   |   11.33   |
| AL051869 |  UNNAMED  |    6.55   |    5.59   |
| AL061869 |  UNNAMED  |   45.27   |   22.81   |
| AL071869 |  UNNAMED  |   19.46   |   13.39   |
| AL081869 |  UNNAMED  |     0     |    0.0    |
| AL091869 |  UNNAMED  |     0     |    0.0    |
| AL101869 |  UNNAMED  |   40.23   |   31.23   |
| AL011870 |  UNNAMED  |     0     |    0.0    |
| AL021870 |  UNNAMED  |   30.04   |   15.18   |
| AL031870 |  UNNAMED  |   19.99   |   17.63   |
| AL041870 |  UNNAMED  |   24.87   |   18.65   |
| AL051870 |  UNNAMED  |   46.12   |   25.56   |
| AL061870 |  UNNAMED  |   14.35   |    6.32   |
| AL071870 |  UNNAMED  |     0     |    0.0    |
| AL081870 |  UNNAMED  |   33.36   |   23.31   |
| AL091870 |  UNNAMED  |   20.18   |   13.01   |
| AL101870 |  UNNAMED  |     0     |    0.0    |
| AL111870 |  UNNAMED  |   11.01   |    5.24   |
| AL011871 |  UNNAMED  |   19.16   |    10.7   |
| AL021871 |  UNNAMED  |   11.57   |   10.41   |
| AL031871 |  UNNAMED  |   10.33   |    6.45   |
| AL041871 |  UNNAMED  |   37.45   |    13.6   |
| AL051871 |  UNNAMED  |   16.41   |   11.99   |
| AL061871 |  UNNAMED  |   14.27   |    9.99   |
| AL071871 |  UNNAMED  |   25.36   |    9.39   |
| AL081871 |  UNNAMED  |   44.97   |   26.19   |
| AL011872 |  UNNAMED  |   30.04   |    6.32   |
| AL021872 |  UNNAMED  |   18.98   |   10.29   |
| AL031872 |  UNNAMED  |    12.1   |    7.32   |
| AL041872 |  UNNAMED  |   26.26   |    15.0   |
| AL051872 |  UNNAMED  |   20.15   |   12.87   |
| AL011873 |  UNNAMED  |   23.87   |   16.67   |
| AL021873 |  UNNAMED  |   19.88   |   12.21   |
| AL031873 |  UNNAMED  |    34.9   |   20.03   |
| AL041873 |  UNNAMED  |   34.36   |   18.62   |
| AL051873 |  UNNAMED  |   27.91   |    9.75   |
| AL011874 |  UNNAMED  |   12.15   |    9.35   |
| AL021874 |  UNNAMED  |   18.73   |   13.93   |
| AL031874 |  UNNAMED  |   25.96   |   13.45   |
| AL041874 |  UNNAMED  |    8.03   |    5.66   |
| AL051874 |  UNNAMED  |   28.27   |   17.45   |
| AL061874 |  UNNAMED  |   26.32   |   15.97   |
| AL071874 |  UNNAMED  |   10.96   |    7.02   |
| AL011875 |  UNNAMED  |   17.76   |   11.61   |
| AL021875 |  UNNAMED  |   22.23   |   14.24   |
| AL031875 |  UNNAMED  |   18.91   |   11.84   |
| AL041875 |  UNNAMED  |   12.01   |    9.06   |
| AL051875 |  UNNAMED  |   30.25   |   14.23   |
| AL061875 |  UNNAMED  |   31.35   |    13.2   |
| AL011876 |  UNNAMED  |    15.1   |    10.2   |
| AL021876 |  UNNAMED  |   27.41   |   15.36   |
| AL031876 |  UNNAMED  |   21.03   |   17.41   |
| AL041876 |  UNNAMED  |   16.69   |   12.07   |
| AL051876 |  UNNAMED  |    23.7   |    7.33   |
| AL011877 |  UNNAMED  |   33.59   |   17.67   |
| AL021877 |  UNNAMED  |   15.53   |    7.75   |
| AL031877 |  UNNAMED  |   25.21   |   10.58   |
| AL041877 |  UNNAMED  |   31.05   |   10.79   |
| AL051877 |  UNNAMED  |   14.81   |    9.6    |
| AL061877 |  UNNAMED  |   20.74   |   13.41   |
| AL071877 |  UNNAMED  |   38.62   |   17.17   |
| AL081877 |  UNNAMED  |   48.53   |   30.39   |
| AL011878 |  UNNAMED  |   16.01   |   10.45   |
| AL021878 |  UNNAMED  |   16.55   |    9.06   |
| AL031878 |  UNNAMED  |   23.05   |   16.68   |
| AL041878 |  UNNAMED  |   28.14   |   14.06   |
| AL051878 |  UNNAMED  |   25.26   |    10.3   |
| AL061878 |  UNNAMED  |   17.41   |    9.5    |
| AL071878 |  UNNAMED  |   36.54   |    9.3    |
| AL081878 |  UNNAMED  |   31.04   |   19.31   |
| AL091878 |  UNNAMED  |   25.29   |   13.41   |
| AL101878 |  UNNAMED  |   17.89   |   11.37   |
| AL111878 |  UNNAMED  |    33.0   |   12.79   |
| AL121878 |  UNNAMED  |   12.58   |    8.56   |
| AL011879 |  UNNAMED  |   18.11   |   14.35   |
| AL021879 |  UNNAMED  |   31.02   |   17.25   |
| AL031879 |  UNNAMED  |   18.14   |   12.45   |
| AL041879 |  UNNAMED  |   17.42   |    7.17   |
| AL051879 |  UNNAMED  |    19.9   |   11.84   |
| AL061879 |  UNNAMED  |   19.51   |   12.93   |
| AL071879 |  UNNAMED  |    43.0   |   17.12   |
| AL081879 |  UNNAMED  |   42.59   |   24.66   |
| AL011880 |  UNNAMED  |    8.22   |    5.67   |
| AL021880 |  UNNAMED  |   21.22   |   10.36   |
| AL031880 |  UNNAMED  |   20.07   |   12.36   |
| AL041880 |  UNNAMED  |   11.78   |    8.74   |
| AL051880 |  UNNAMED  |   18.71   |    8.4    |
| AL061880 |  UNNAMED  |    30.5   |   15.53   |
| AL071880 |  UNNAMED  |    30.2   |   23.84   |
| AL081880 |  UNNAMED  |   24.02   |   11.09   |
| AL091880 |  UNNAMED  |   26.84   |    12.6   |
| AL101880 |  UNNAMED  |    27.9   |    9.77   |
| AL111880 |  UNNAMED  |    34.9   |   15.08   |
| AL011881 |  UNNAMED  |    9.15   |    7.32   |
| AL031881 |  UNNAMED  |   15.53   |   10.34   |
| AL021881 |  UNNAMED  |   13.42   |    8.74   |
| AL041881 |  UNNAMED  |   22.66   |   16.59   |
| AL051881 |  UNNAMED  |   16.87   |   10.32   |
| AL061881 |  UNNAMED  |   19.89   |   12.46   |
| AL071881 |  UNNAMED  |   17.71   |   14.08   |
| AL011882 |  UNNAMED  |   31.92   |   19.69   |
| AL021882 |  UNNAMED  |   33.23   |    12.2   |
| AL031882 |  UNNAMED  |   10.88   |    7.7    |
| AL041882 |  UNNAMED  |   22.59   |   10.57   |
| AL051882 |  UNNAMED  |   26.99   |   13.62   |
| AL061882 |  UNNAMED  |   15.48   |    7.73   |
| AL011883 |  UNNAMED  |   34.57   |   16.25   |
| AL021883 |  UNNAMED  |   41.16   |   17.48   |
| AL031883 |  UNNAMED  |   16.74   |    9.97   |
| AL041883 |  UNNAMED  |    43.3   |   20.24   |
| AL011884 |  UNNAMED  |   33.23   |   18.18   |
| AL021884 |  UNNAMED  |   36.91   |   10.96   |
| AL031884 |  UNNAMED  |   53.84   |   15.34   |
| AL041884 |  UNNAMED  |   18.49   |    5.89   |
| AL011885 |  UNNAMED  |   25.75   |   13.04   |
| AL021885 |  UNNAMED  |   43.71   |   18.47   |
| AL031885 |  UNNAMED  |   21.64   |   13.99   |
| AL041885 |  UNNAMED  |   31.26   |   14.92   |
| AL051885 |  UNNAMED  |   21.42   |    8.78   |
| AL061885 |  UNNAMED  |   15.86   |    5.45   |
| AL071885 |  UNNAMED  |    15.6   |   11.91   |
| AL081885 |  UNNAMED  |    18.7   |   12.96   |
| AL011886 |  UNNAMED  |   15.06   |   11.75   |
| AL021886 |  UNNAMED  |   34.62   |    12.1   |
| AL031886 |  UNNAMED  |   22.77   |   12.55   |
| AL041886 |  UNNAMED  |   31.81   |   16.23   |
| AL051886 |  UNNAMED  |    20.2   |   12.61   |
| AL061886 |  UNNAMED  |   22.88   |   12.03   |
| AL071886 |  UNNAMED  |    34.1   |   22.91   |
| AL081886 |  UNNAMED  |   15.91   |   10.23   |
| AL091886 |  UNNAMED  |    6.57   |    3.38   |
| AL101886 |  UNNAMED  |   12.74   |    7.97   |
| AL111886 |  UNNAMED  |   14.79   |    6.39   |
| AL121886 |  UNNAMED  |   14.88   |    9.78   |
| AL011887 |  UNNAMED  |   51.81   |    11.8   |
| AL021887 |  UNNAMED  |   13.41   |    8.61   |
| AL031887 |  UNNAMED  |   11.97   |    9.7    |
| AL041887 |  UNNAMED  |   23.49   |   12.76   |
| AL051887 |  UNNAMED  |   16.17   |    9.93   |
| AL061887 |  UNNAMED  |   36.13   |   17.89   |
| AL071887 |  UNNAMED  |    46.5   |   15.36   |
| AL081887 |  UNNAMED  |   45.68   |   22.74   |
| AL091887 |  UNNAMED  |   19.16   |    9.83   |
| AL101887 |  UNNAMED  |    33.9   |   19.98   |
| AL111887 |  UNNAMED  |    12.3   |   12.18   |
| AL121887 |  UNNAMED  |   13.99   |    8.53   |
| AL131887 |  UNNAMED  |   53.47   |   12.13   |
| AL141887 |  UNNAMED  |   16.06   |   13.81   |
| AL151887 |  UNNAMED  |   17.44   |   12.68   |
| AL161887 |  UNNAMED  |   45.35   |   21.52   |
| AL171887 |  UNNAMED  |   17.85   |    9.36   |
| AL181887 |  UNNAMED  |   34.49   |   18.28   |
| AL191887 |  UNNAMED  |   18.83   |    11.3   |
| AL011888 |  UNNAMED  |    6.1    |    4.92   |
| AL021888 |  UNNAMED  |   11.01   |    7.8    |
| AL031888 |  UNNAMED  |   39.13   |    14.7   |
| AL041888 |  UNNAMED  |    14.0   |   10.34   |
| AL051888 |  UNNAMED  |   24.96   |   12.61   |
| AL061888 |  UNNAMED  |   32.18   |   16.66   |
| AL071888 |  UNNAMED  |   37.04   |   17.93   |
| AL081888 |  UNNAMED  |   14.65   |    10.9   |
| AL091888 |  UNNAMED  |   17.59   |    9.2    |
| AL011889 |  UNNAMED  |    15.5   |   10.18   |
| AL021889 |  UNNAMED  |   25.77   |   14.08   |
| AL031889 |  UNNAMED  |    9.67   |    6.49   |
| AL041889 |  UNNAMED  |   14.96   |    7.97   |
| AL051889 |  UNNAMED  |   25.67   |   13.45   |
| AL061889 |  UNNAMED  |   42.35   |   12.47   |
| AL071889 |  UNNAMED  |   21.25   |   12.88   |
| AL081889 |  UNNAMED  |   20.46   |   14.09   |
| AL091889 |  UNNAMED  |   42.34   |    20.3   |
| AL011890 |  UNNAMED  |    7.22   |    5.55   |
| AL021890 |  UNNAMED  |   25.31   |   10.12   |
| AL031890 |  UNNAMED  |   36.39   |   20.11   |
| AL041890 |  UNNAMED  |   10.84   |   10.22   |
| AL011891 |  UNNAMED  |   13.77   |    8.56   |
| AL021891 |  UNNAMED  |   16.15   |   10.65   |
| AL031891 |  UNNAMED  |   18.33   |   10.06   |
| AL041891 |  UNNAMED  |   41.61   |   15.93   |
| AL051891 |  UNNAMED  |   19.38   |   10.13   |
| AL061891 |  UNNAMED  |   37.25   |   14.84   |
| AL071891 |  UNNAMED  |   20.08   |   13.28   |
| AL081891 |  UNNAMED  |   42.88   |   13.04   |
| AL091891 |  UNNAMED  |   26.19   |   11.77   |
| AL101891 |  UNNAMED  |   39.76   |   23.43   |
| AL011892 |  UNNAMED  |   17.32   |    7.23   |
| AL021892 |  UNNAMED  |   39.41   |   15.83   |
| AL031892 |  UNNAMED  |   24.11   |   12.61   |
| AL041892 |  UNNAMED  |   28.49   |   14.39   |
| AL051892 |  UNNAMED  |   18.57   |    9.7    |
| AL061892 |  UNNAMED  |    8.36   |    7.4    |
| AL071892 |  UNNAMED  |   13.98   |    9.66   |
| AL081892 |  UNNAMED  |    16.4   |   10.78   |
| AL091892 |  UNNAMED  |   19.74   |    8.92   |
| AL011893 |  UNNAMED  |    22.9   |   12.48   |
| AL021893 |  UNNAMED  |   14.56   |   11.82   |
| AL031893 |  UNNAMED  |   38.59   |    15.0   |
| AL041893 |  UNNAMED  |   27.98   |   15.04   |
| AL051893 |  UNNAMED  |   22.75   |   19.48   |
| AL061893 |  UNNAMED  |   31.79   |   13.94   |
| AL071893 |  UNNAMED  |   25.44   |   11.71   |
| AL081893 |  UNNAMED  |   16.38   |    9.42   |
| AL091893 |  UNNAMED  |   40.16   |   10.73   |
| AL101893 |  UNNAMED  |   18.52   |   10.84   |
| AL111893 |  UNNAMED  |   23.43   |   18.73   |
| AL121893 |  UNNAMED  |   24.56   |   13.26   |
| AL011894 |  UNNAMED  |    8.56   |    5.67   |
| AL021894 |  UNNAMED  |    8.77   |    4.55   |
| AL031894 |  UNNAMED  |   39.73   |   14.37   |
| AL041894 |  UNNAMED  |   18.86   |    10.5   |
| AL051894 |  UNNAMED  |   31.98   |   11.58   |
| AL061894 |  UNNAMED  |   17.53   |    8.88   |
| AL071894 |  UNNAMED  |   32.79   |   14.26   |
| AL011895 |  UNNAMED  |    9.02   |    5.29   |
| AL021895 |  UNNAMED  |   20.01   |   11.73   |
| AL031895 |  UNNAMED  |   25.07   |   12.07   |
| AL041895 |  UNNAMED  |   29.34   |   10.82   |
| AL051895 |  UNNAMED  |   38.96   |    14.2   |
| AL061895 |  UNNAMED  |   18.64   |   10.87   |
| AL011896 |  UNNAMED  |   25.63   |   14.47   |
| AL021896 |  UNNAMED  |   13.34   |    8.91   |
| AL031896 |  UNNAMED  |   24.97   |    16.8   |
| AL041896 |  UNNAMED  |   38.69   |   13.79   |
| AL051896 |  UNNAMED  |   39.63   |   12.62   |
| AL061896 |  UNNAMED  |   16.15   |    9.64   |
| AL071896 |  UNNAMED  |   16.05   |    8.08   |
| AL011897 |  UNNAMED  |   30.67   |   15.11   |
| AL021897 |  UNNAMED  |   17.92   |    12.4   |
| AL031897 |  UNNAMED  |   52.68   |   18.02   |
| AL041897 |  UNNAMED  |    9.02   |    4.92   |
| AL051897 |  UNNAMED  |    32.8   |   11.09   |
| AL061897 |  UNNAMED  |    18.4   |   10.39   |
| AL011898 |  UNNAMED  |   17.16   |   13.66   |
| AL021898 |  UNNAMED  |   11.34   |    8.24   |
| AL031898 |  UNNAMED  |   21.35   |   14.63   |
| AL041898 |  UNNAMED  |   37.77   |   12.92   |
| AL051898 |  UNNAMED  |   22.33   |    8.69   |
| AL061898 |  UNNAMED  |   13.47   |    7.74   |
| AL071898 |  UNNAMED  |   48.03   |    13.5   |
| AL081898 |  UNNAMED  |   15.53   |   10.05   |
| AL091898 |  UNNAMED  |   23.87   |   10.31   |
| AL101898 |  UNNAMED  |   22.98   |   10.49   |
| AL111898 |  UNNAMED  |   13.51   |    9.18   |
| AL011899 |  UNNAMED  |   10.61   |    8.01   |
| AL021899 |  UNNAMED  |   19.23   |    10.6   |
| AL031899 |  UNNAMED  |   45.59   |    9.56   |
| AL041899 |  UNNAMED  |   24.63   |   12.63   |
| AL051899 |  UNNAMED  |   31.75   |   13.45   |
| AL061899 |  UNNAMED  |   44.47   |   20.15   |
| AL071899 |  UNNAMED  |   11.59   |    8.95   |
| AL081899 |  UNNAMED  |   15.74   |   11.38   |
| AL091899 |  UNNAMED  |    41.4   |   17.57   |
| AL101899 |  UNNAMED  |   23.33   |   13.18   |
| AL011900 |  UNNAMED  |   38.27   |   14.57   |
| AL021900 |  UNNAMED  |   32.16   |   12.45   |
| AL031900 |  UNNAMED  |   16.59   |    8.93   |
| AL041900 |  UNNAMED  |   13.14   |    9.38   |
| AL051900 |  UNNAMED  |   30.05   |   13.51   |
| AL061900 |  UNNAMED  |   34.23   |   18.27   |
| AL071900 |  UNNAMED  |   39.21   |   16.27   |
| AL011901 |  UNNAMED  |   20.16   |   11.13   |
| AL021901 |  UNNAMED  |   23.11   |   12.65   |
| AL031901 |  UNNAMED  |   21.83   |   11.02   |
| AL041901 |  UNNAMED  |   16.91   |    9.37   |
| AL051901 |  UNNAMED  |   14.69   |   10.41   |
| AL061901 |  UNNAMED  |   12.67   |    9.7    |
| AL071901 |  UNNAMED  |   33.53   |   15.03   |
| AL081901 |  UNNAMED  |   37.07   |   14.93   |
| AL091901 |  UNNAMED  |    7.15   |    4.92   |
| AL101901 |  UNNAMED  |   47.94   |   16.14   |
| AL111901 |  UNNAMED  |    32.3   |   14.08   |
| AL121901 |  UNNAMED  |    16.0   |   11.07   |
| AL131901 |  UNNAMED  |   18.04   |    9.51   |
| AL011902 |  UNNAMED  |   42.01   |   17.71   |
| AL021902 |  UNNAMED  |   34.68   |    9.84   |
| AL031902 |  UNNAMED  |   22.64   |   17.12   |
| AL041902 |  UNNAMED  |   44.65   |   11.44   |
| AL051902 |  UNNAMED  |   24.35   |   12.38   |
| AL011903 |  UNNAMED  |   28.47   |   17.36   |
| AL021903 |  UNNAMED  |   20.14   |   13.46   |
| AL031903 |  UNNAMED  |   13.05   |    6.98   |
| AL041903 |  UNNAMED  |   21.36   |   13.84   |
| AL051903 |  UNNAMED  |   22.14   |    9.18   |
| AL061903 |  UNNAMED  |   40.45   |   22.14   |
| AL071903 |  UNNAMED  |    19.3   |    11.5   |
| AL081903 |  UNNAMED  |    11.1   |    6.17   |
| AL091903 |  UNNAMED  |   35.23   |   16.09   |
| AL101903 |  UNNAMED  |   16.54   |   10.54   |
| AL011904 |  UNNAMED  |   12.34   |    6.99   |
| AL021904 |  UNNAMED  |    59.9   |   15.24   |
| AL031904 |  UNNAMED  |    9.15   |    5.71   |
| AL041904 |  UNNAMED  |   11.84   |    5.86   |
| AL051904 |  UNNAMED  |   36.11   |   18.17   |
| AL061904 |  UNNAMED  |   36.31   |   17.13   |
| AL011905 |  UNNAMED  |   18.37   |   15.46   |
| AL021905 |  UNNAMED  |    11.7   |    6.58   |
| AL031905 |  UNNAMED  |   13.52   |    8.43   |
| AL041905 |  UNNAMED  |   26.04   |    11.7   |
| AL051905 |  UNNAMED  |   21.84   |    9.13   |
| AL011906 |  UNNAMED  |   21.18   |    9.35   |
| AL021906 |  UNNAMED  |   19.32   |    9.4    |
| AL031906 |  UNNAMED  |   20.09   |   11.91   |
| AL041906 |  UNNAMED  |   40.54   |   14.82   |
| AL051906 |  UNNAMED  |   16.25   |    9.16   |
| AL061906 |  UNNAMED  |   13.05   |    7.6    |
| AL071906 |  UNNAMED  |   32.62   |   12.39   |
| AL081906 |  UNNAMED  |    21.0   |    7.56   |
| AL091906 |  UNNAMED  |    17.8   |   12.02   |
| AL101906 |  UNNAMED  |   13.24   |    8.91   |
| AL111906 |  UNNAMED  |    9.9    |    7.01   |
| AL011907 |  UNNAMED  |   37.09   |    17.0   |
| AL021907 |  UNNAMED  |    17.6   |   10.03   |
| AL031907 |  UNNAMED  |    36.2   |   21.85   |
| AL041907 |  UNNAMED  |   44.22   |   18.04   |
| AL051907 |  UNNAMED  |   14.18   |    8.55   |
| AL011908 |  UNNAMED  |   11.89   |    8.33   |
| AL021908 |  UNNAMED  |   32.89   |   10.52   |
| AL031908 |  UNNAMED  |   28.99   |    9.36   |
| AL041908 |  UNNAMED  |    7.95   |    4.43   |
| AL051908 |  UNNAMED  |   20.96   |   10.36   |
| AL061908 |  UNNAMED  |   42.11   |   13.45   |
| AL071908 |  UNNAMED  |    7.38   |    5.91   |
| AL081908 |  UNNAMED  |   18.33   |    9.2    |
| AL091908 |  UNNAMED  |    9.74   |    4.07   |
| AL101908 |  UNNAMED  |   21.08   |   14.18   |
| AL011909 |  UNNAMED  |    4.86   |    2.5    |
| AL021909 |  UNNAMED  |    8.25   |    7.01   |
| AL031909 |  UNNAMED  |   13.28   |    8.15   |
| AL041909 |  UNNAMED  |   14.72   |   11.54   |
| AL051909 |  UNNAMED  |   16.88   |   11.44   |
| AL061909 |  UNNAMED  |   19.45   |   12.76   |
| AL071909 |  UNNAMED  |   12.78   |    9.82   |
| AL081909 |  UNNAMED  |   17.08   |    9.34   |
| AL091909 |  UNNAMED  |   19.27   |    9.18   |
| AL101909 |  UNNAMED  |   19.68   |   10.13   |
| AL111909 |  UNNAMED  |   25.85   |   12.94   |
| AL121909 |  UNNAMED  |   23.34   |   11.15   |
| AL011910 |  UNNAMED  |   22.22   |   12.98   |
| AL021910 |  UNNAMED  |    4.95   |    3.08   |
| AL031910 |  UNNAMED  |   17.28   |    9.73   |
| AL041910 |  UNNAMED  |   26.81   |   14.15   |
| AL051910 |  UNNAMED  |   27.34   |    8.33   |
| AL011911 |  UNNAMED  |   27.43   |   12.84   |
| AL021911 |  UNNAMED  |   15.99   |    6.38   |
| AL031911 |  UNNAMED  |   12.87   |    7.39   |
| AL041911 |  UNNAMED  |   14.72   |    9.86   |
| AL051911 |  UNNAMED  |   16.32   |    6.98   |
| AL061911 |  UNNAMED  |   26.67   |    8.66   |
| AL011912 |  UNNAMED  |   30.76   |    8.39   |
| AL021912 |  UNNAMED  |   10.28   |    8.11   |
| AL031912 |  UNNAMED  |   17.23   |    7.05   |
| AL041912 |  UNNAMED  |   19.96   |    5.04   |
| AL051912 |  UNNAMED  |   20.27   |    7.7    |
| AL061912 |  UNNAMED  |   11.06   |    7.95   |
| AL071912 |  UNNAMED  |   12.52   |    4.22   |
| AL011913 |  UNNAMED  |   14.84   |    9.12   |
| AL021913 |  UNNAMED  |   23.38   |   17.58   |
| AL031913 |  UNNAMED  |   21.58   |   11.43   |
| AL041913 |  UNNAMED  |   17.22   |    6.67   |
| AL051913 |  UNNAMED  |   12.12   |    6.21   |
| AL061913 |  UNNAMED  |   11.01   |    7.46   |
| AL011914 |  UNNAMED  |   15.86   |   10.58   |
| AL011915 |  UNNAMED  |   22.17   |   10.55   |
